== STATIC VS SEARCH on the false-win corpus: 82 rows, 52 trajectories (V2.1; rated V1 at depth 8 for comparison) ==

means: SF +6  V2.1 static +217  qs +244  d4 +246  d6 +251  d8 +243  d10 +218 (52 rows)  | V1 d8 +246
classification by trajectory: {'MIXED': 7, 'STATIC': 32, 'SEARCH-INFLATED': 8, 'SEARCH-CORRECTABLE': 5}
classification by row: {'MIXED': 7, 'STATIC': 58, 'SEARCH-INFLATED': 12, 'SEARCH-CORRECTABLE': 5}

id      traj                       sig              SF  static     qs     d4     d6     d8    d10  V1 d8 class             
fw-058  passed:42:cW               K-KP             +0    +199   +199   +248   +256   +255   +229   +248 STATIC            
fw-042  mopup:12:cW                KBPP-KBPPP       +0    +227   +227   +242   +252   +248   +242   +252 STATIC            
fw-043  mopup:12:cW                KBPP-KBPPP       +0    +251   +251   +242   +252   +248      -   +237 STATIC            
fw-061  passed:5:cB                KP-K             +0    +218   +218   +252   +212   +245      -   +245 STATIC            
fw-029  gate2_v1:38:cB             KRBP-KBNPPPP    +59    +254   +254   +250   +258   +242   +177   +230 STATIC            
fw-037  gate2_v1:78:cW             KRP-KNP          +6    +218   +218   +226   +237   +240   +237   +237 STATIC            
fw-054  mopup:62:cW                KPP-KR           +0    +304   +304   +271   +252   +240      -   +249 STATIC            
fw-068  postmortem:15:cW           KBPPP-KBPPP      +7    +220   +220   +235   +239   +233   +238   +233 STATIC            
fw-075  postmortem:71:cW           KB-KR           +19    +231   +231   +238   +235   +233   +234   +233 STATIC            
fw-076  postmortem:71:cW           KB-KR           +12    +238   +238   +236   +231   +226      -   +226 STATIC            
fw-003  gate2_passed:15:cB         KBPPP-KBPPP      +4    +234   +234   +242   +239   +225   +220   +225 STATIC            
fw-059  passed:42:cW               K-KP             +0    +267   +267   +376   +229   +225      -     +0 STATIC            
fw-077  postmortem:76:cB           KNP-KPP          +0    +246   +246   +209   +215   +224   +207   +212 STATIC            
fw-062  passed:71:cW               KBP-KRP          +3    +232   +232   +223   +222   +218   +205   +224 STATIC            
fw-056  passed:15:cW               KBPP-KBPPP       +0    +349   +349   +224   +220   +208   +200   +210 STATIC            
fw-004  gate2_passed:15:cB         KBPP-KBPP        +0    +239   +239   +220   +208   +204      -   +208 STATIC            
fw-015  gate2_v1:12:cB             KBPP-KBPPP       +0    +198   +198   +190   +192   +203   +239   +196 STATIC            
fw-036  gate2_v1:78:cW             KRP-KNP         +28    +175   +175   +202   +205   +203      -   +209 STATIC            
fw-078  postmortem:76:cB           KN-KP            +0    +226   +226   +213   +213   +203      -   +216 STATIC            
fw-010  gate2_passed:5:cB          KBPPP-KBNP       +0    +162   +271   +232   +206   +201   +196   +213 STATIC            
fw-081  tactics:save_the_knight    KN-KP            +0    +185   +185   +170   +189   +200   +210   +220 STATIC            
fw-039  gate2_v1:88:cB             KRRBPPPP-KQRPPPPP  +38    +195   +195   +193   +187   +197      -   +197 STATIC            
fw-038  gate2_v1:88:cB             KRRBPPPP-KQRPPPPP  +50    +218   +218   +202   +203   +193   +173   +193 STATIC            
fw-021  gate2_v1:23:cB             KQPPP-KQNP      +45    +199   +199   +191   +187   +182   +183   +174 STATIC            
fw-001  gate2_passed:12:cB         KBPP-KBPPP       +0    +171   +171   +173   +176   +176   +173   +173 STATIC            
fw-024  gate2_v1:29:cB             KBPPPP-KBPPPPP  +39    +170   +170   +153   +168   +171   +179   +171 STATIC            
fw-002  gate2_passed:12:cB         KBPP-KBPPP       +8    +163   +163   +176   +171   +170      -   +172 STATIC            
fw-014  gate2_v1:12:cB             KBPP-KBPPP       +4    +210   +177   +173   +176   +169      -   +174 STATIC            
fw-052  mopup:60:cB                KRPP-KPPP        -5    +295   +295   +299   +221   +166      -   +166 STATIC            
fw-006  gate2_passed:29:cB         KBPPPP-KBPPPPP   +0    +168   +168   +164   +160   +164      -   +156 STATIC            
fw-005  gate2_passed:29:cB         KBPPPP-KBPPPPP   +0    +150   +150   +155   +163   +159   +155   +161 STATIC            
fw-025  gate2_v1:29:cB             KBPPPP-KBPPPPP  +10    +172   +172   +160   +163   +152      -   +152 STATIC            
fw-046  mopup:23:cW                KPP-KN           +0    +153   +202   +192   +143   +114   +127   +133 STATIC            
