rank,team_name,team_subtitle,team_id,university,rating,games_played,wins,draws,losses,provisional,public_team_url
32,Danya's Disciple,,a4b26c08-0fa5-48ae-b15e-69a622ee81bb,Leeds,1686,3,2,0,1,True,https://aichessathon.com/team/a4b26c08-0fa5-48ae-b15e-69a622ee81bb
33,LSE4-E5,jlu,d935d7bf-978d-4483-8995-8bac436da1d1,LSE,1686,3,2,0,1,True,https://aichessathon.com/team/d935d7bf-978d-4483-8995-8bac436da1d1
34,APEX,APEX,dbe5877f-f1ea-410f-8fea-c759d58fe09a,Warwick,1686,3,2,0,1,True,https://aichessathon.com/team/dbe5877f-f1ea-410f-8fea-c759d58fe09a
35,Fight Club,,edc3ae56-ebc8-4a39-9e46-11db2179faf8,Mixed,1686,3,2,0,1,True,https://aichessathon.com/team/edc3ae56-ebc8-4a39-9e46-11db2179faf8
36,lyra,slopfish,1d137be0-3a3e-4cda-a7ba-b22d8d178e66,Warwick,1662,1,1,0,0,True,https://aichessathon.com/team/1d137be0-3a3e-4cda-a7ba-b22d8d178e66
37,team,,55b6ba0f-26a3-4ffa-929d-8615bdc10153,Oxford,1662,1,1,0,0,True,https://aichessathon.com/team/55b6ba0f-26a3-4ffa-929d-8615bdc10153
38,Yumo,,5aa0e1ef-c640-45f9-b4b4-1389de2a609b,Warwick,1662,3,1,2,0,True,https://aichessathon.com/team/5aa0e1ef-c640-45f9-b4b4-1389de2a609b
39,KD,Dominated Horses,74427349-a24e-498e-8508-a8a80d225133,International,1662,3,1,2,0,True,https://aichessathon.com/team/74427349-a24e-498e-8508-a8a80d225133
40,ChessML,,e152b64e-0c6d-4341-b02b-09c09b098f8c,QMUL,1654,3,1,2,0,True,https://aichessathon.com/team/e152b64e-0c6d-4341-b02b-09c09b098f8c
41,TheROOK,,13367195-d3ed-4c05-bba6-25ee8f416520,UCL,1638,3,2,0,1,True,https://aichessathon.com/team/13367195-d3ed-4c05-bba6-25ee8f416520
42,Samson,Finlay Phillips,1a7f24af-0e65-4f49-b084-a7fd513ddb14,UCL,1638,3,2,0,1,True,https://aichessathon.com/team/1a7f24af-0e65-4f49-b084-a7fd513ddb14
43,Loki 3.0,,239fb36b-5e2f-4bb7-9a8a-5832363a0c25,,1638,3,2,0,1,True,https://aichessathon.com/team/239fb36b-5e2f-4bb7-9a8a-5832363a0c25
44,Minimaxnus,Stonkfish,385a6db2-1c05-46db-ae91-7218700f83b3,Warwick,1638,3,2,0,1,True,https://aichessathon.com/team/385a6db2-1c05-46db-ae91-7218700f83b3
45,stockfish.py,Asher Falcon,39c268bf-a894-4fb1-9d76-6b5343700832,Manchester,1638,3,2,0,1,True,https://aichessathon.com/team/39c268bf-a894-4fb1-9d76-6b5343700832
46,The Castle Gambit,The Castle Gambit,6a43144c-53b1-40d0-b620-8833a255f82f,UCL,1638,3,2,0,1,True,https://aichessathon.com/team/6a43144c-53b1-40d0-b620-8833a255f82f
47,Only Blunders,OnlyBlunder,72e19bc4-a390-4dbd-9df8-04c55e39bf7b,UCL,1638,3,2,0,1,True,https://aichessathon.com/team/72e19bc4-a390-4dbd-9df8-04c55e39bf7b
48,Capablanca,THE ROOOOOKKK!!!!,c7fad433-1020-4b2a-a0e3-8e86720d23de,Imperial,1638,3,2,0,1,True,https://aichessathon.com/team/c7fad433-1020-4b2a-a0e3-8e86720d23de
49,Good Morning,JSP,dab1e77e-ebb1-49f5-92d4-2a013e3288c4,Mixed,1638,3,2,0,1,True,https://aichessathon.com/team/dab1e77e-ebb1-49f5-92d4-2a013e3288c4
50,blundered my queen 💔,,ea0db44a-0888-4b54-b7ff-ec805c7befb6,International,1638,3,2,0,1,True,https://aichessathon.com/team/ea0db44a-0888-4b54-b7ff-ec805c7befb6
